Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Version
NSRDB,20012,-,-,-,26.25,73.05,5.5,0,5.5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,unknown
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Temperature,Wind Speed,Pressure
2022,1,5,18,30,0,0,0,19,0.2,9860
2022,1,5,19,30,0,0,0,18,0.2,9870
2022,1,5,20,30,0,0,0,17,0.3,9870
2022,1,5,21,30,0,0,0,16,0.3,9870
2022,1,5,22,30,0,0,0,16,0.2,9870
2022,1,5,23,30,0,0,0,15,0.2,9870
2022,1,6,0,30,0,0,0,14,0.2,9860
2022,1,6,1,30,0,0,0,13,0.2,9860
2022,1,6,2,30,0,0,0,13,0.2,9860
2022,1,6,3,30,0,0,0,12,0.2,9860
2022,1,6,4,30,0,0,0,12,0.2,9860
2022,1,6,5,30,0,0,0,11,0.1,9860
2022,1,6,6,30,0,0,0,11,0.1,9870
2022,1,6,7,30,0,0,0,12,0.1,9870
2022,1,6,8,30,154,79,370,16,0.1,9880
2022,1,6,9,30,353,116,622,19,0.0,9890
2022,1,6,10,30,520,133,741,24,0.0,9890
2022,1,6,11,30,628,149,777,28,0.0,9880
2022,1,6,12,30,664,180,736,29,0.1,9870
2022,1,6,13,30,670,163,790,29,0.1,9860
2022,1,6,14,30,576,140,763,28,0.1,9850
2022,1,6,15,30,424,133,646,26,0.1,9850
2022,1,6,16,30,250,136,397,23,0.1,9850
2022,1,6,17,30,36,34,20,20,0.2,9860
2022,1,6,18,30,0,0,0,19,0.2,9870
2022,1,6,19,30,0,0,0,18,0.1,9870
2022,1,6,20,30,0,0,0,18,0.1,9870
2022,1,6,21,30,0,0,0,17,0.1,9870
2022,1,6,22,30,0,0,0,16,0.1,9870
2022,1,6,23,30,0,0,0,16,0.1,9870
2022,1,7,0,30,0,0,0,15,0.1,9860
2022,1,7,1,30,0,0,0,15,0.1,9850
2022,1,7,2,30,0,0,0,14,0.0,9850
2022,1,7,3,30,0,0,0,14,0.0,9850
2022,1,7,4,30,0,0,0,13,0.0,9850
2022,1,7,5,30,0,0,0,13,0.1,9850
2022,1,7,6,30,0,0,0,12,0.1,9860
2022,1,7,7,30,0,0,0,14,0.2,9860
2022,1,7,8,30,154,79,369,18,0.2,9870
2022,1,7,9,30,355,119,617,21,0.1,9870
2022,1,7,10,30,525,144,729,26,0.1,9870
2022,1,7,11,30,643,157,786,28,0.1,9870
2022,1,7,12,30,691,192,757,29,0.1,9860
2022,1,7,13,30,604,259,535,30,0.1,9860
2022,1,7,14,30,585,174,716,29,0.1,9850
2022,1,7,15,30,438,132,678,28,0.1,9840
2022,1,7,16,30,248,100,514,24,0.1,9840
2022,1,7,17,30,11,11,0,21,0.1,9840
2022,1,7,18,30,0,0,0,20,0.1,9850
2022,1,7,19,30,0,0,0,20,0.1,9850
2022,1,7,20,30,0,0,0,19,0.1,9850
2022,1,7,21,30,0,0,0,18,0.1,9850
2022,1,7,22,30,0,0,0,17,0.1,9850
2022,1,7,23,30,0,0,0,17,0.1,9850
2022,1,8,0,30,0,0,0,17,0.2,9840
2022,1,8,1,30,0,0,0,16,0.2,9840
2022,1,8,2,30,0,0,0,16,0.2,9840
2022,1,8,3,30,0,0,0,16,0.2,9830
2022,1,8,4,30,0,0,0,15,0.2,9830
2022,1,8,5,30,0,0,0,14,0.2,9840
2022,1,8,6,30,0,0,0,14,0.2,9840
2022,1,8,7,30,0,0,0,15,0.2,9850
2022,1,8,8,30,153,76,383,18,0.2,9860
2022,1,8,9,30,250,177,189,22,0.2,9870
2022,1,8,10,30,523,143,725,26,0.2,9860
2022,1,8,11,30,642,157,783,28,0.3,9850
2022,1,8,12,30,695,163,806,29,0.3,9840
2022,1,8,13,30,676,161,798,29,0.3,9830
2022,1,8,14,30,588,151,759,29,0.3,9830
2022,1,8,15,30,439,132,675,27,0.3,9820
2022,1,8,16,30,246,128,405,25,0.3,9820
2022,1,8,17,30,53,42,109,23,0.2,9820
2022,1,8,18,30,0,0,0,22,0.2,9830
2022,1,8,19,30,0,0,0,21,0.2,9840
2022,1,8,20,30,0,0,0,20,0.2,9840
2022,1,8,21,30,0,0,0,20,0.2,9840
2022,1,8,22,30,0,0,0,19,0.2,9840
2022,1,8,23,30,0,0,0,19,0.2,9830
2022,1,9,0,30,0,0,0,18,0.2,9830
2022,1,9,1,30,0,0,0,18,0.2,9830
2022,1,9,2,30,0,0,0,18,0.2,9820
2022,1,9,3,30,0,0,0,17,0.2,9820
2022,1,9,4,30,0,0,0,17,0.2,9820
2022,1,9,5,30,0,0,0,17,0.2,9830
2022,1,9,6,30,0,0,0,16,0.2,9840
2022,1,9,7,30,0,0,0,17,0.2,9850
2022,1,9,8,30,147,74,361,19,0.2,9860
2022,1,9,9,30,339,117,584,23,0.2,9860
2022,1,9,10,30,375,257,225,26,0.2,9860
2022,1,9,11,30,604,230,603,28,0.2,9850
2022,1,9,12,30,674,160,777,30,0.2,9830
2022,1,9,13,30,657,158,770,30,0.3,9820
2022,1,9,14,30,571,148,731,30,0.3,9810
2022,1,9,15,30,426,130,649,28,0.3,9810
2022,1,9,16,30,226,135,309,26,0.2,9810
2022,1,9,17,30,30,30,0,24,0.2,9820
2022,1,9,18,30,0,0,0,22,0.2,9820
2022,1,9,19,30,0,0,0,21,0.2,9830
2022,1,9,20,30,0,0,0,20,0.2,9840
2022,1,9,21,30,0,0,0,19,0.2,9840
2022,1,9,22,30,0,0,0,19,0.2,9830
2022,1,9,23,30,0,0,0,18,0.2,9830
2022,1,10,0,30,0,0,0,17,0.2,9820
2022,1,10,1,30,0,0,0,17,0.2,9820
2022,1,10,2,30,0,0,0,17,0.2,9810
2022,1,10,3,30,0,0,0,16,0.1,9810
2022,1,10,4,30,0,0,0,16,0.1,9820
2022,1,10,5,30,0,0,0,16,0.1,9820
2022,1,10,6,30,0,0,0,15,0.1,9830
2022,1,10,7,30,0,0,0,16,0.1,9840
2022,1,10,8,30,153,76,380,19,0.1,9850
2022,1,10,9,30,351,119,609,22,0.0,9860
2022,1,10,10,30,523,143,723,26,0.0,9860
2022,1,10,11,30,548,259,464,28,0.0,9850
2022,1,10,12,30,675,204,709,29,0.0,9830
2022,1,10,13,30,651,182,721,30,0.1,9820
2022,1,10,14,30,591,151,758,29,0.1,9810
2022,1,10,15,30,444,133,677,28,0.1,9810
2022,1,10,16,30,223,125,329,25,0.1,9810
2022,1,10,17,30,48,42,56,22,0.1,9810
2022,1,10,18,30,0,0,0,21,0.2,9820
2022,1,10,19,30,0,0,0,20,0.2,9830
2022,1,10,20,30,0,0,0,19,0.2,9830
2022,1,10,21,30,0,0,0,18,0.3,9830
2022,1,10,22,30,0,0,0,18,0.3,9830
2022,1,10,23,30,0,0,0,17,0.3,9820
2022,1,11,0,30,0,0,0,16,0.3,9820
2022,1,11,1,30,0,0,0,16,0.2,9820
2022,1,11,2,30,0,0,0,15,0.2,9810
2022,1,11,3,30,0,0,0,15,0.3,9810
2022,1,11,4,30,0,0,0,14,0.3,9810
2022,1,11,5,30,0,0,0,14,0.3,9820
2022,1,11,6,30,0,0,0,13,0.3,9820
2022,1,11,7,30,0,0,0,15,0.3,9830
2022,1,11,8,30,152,76,379,18,0.2,9840
2022,1,11,9,30,350,119,606,22,0.1,9850
