Ubicación,Capacidad_kW,Energía_Anual_kWh,Factor_Capacidad_%,Tilt,Azimuth
Sevilla,500,783427.1188378601,17.886463900407765,35,180
Sevilla,1000,1566808.0850920773,17.885937044430104,35,180
Sevilla,5000,7833731.175282928,17.88523099379664,35,180
Iquique,500,606497.6045200506,13.846977272147273,20,0
Iquique,1000,1212983.074289208,13.846838747593699,20,0
Iquique,5000,6064834.088297022,13.846653169627904,20,0
Jodhpur,500,794794.7928768422,18.145999837370827,25,180
Jodhpur,1000,1589564.160285259,18.145709592297475,25,180
Jodhpur,5000,7947650.491256068,18.145320756292392,25,180
