Ubicación,Capacidad_kW,Energía_Anual_kWh,Factor_Capacidad_%
Sevilla,500,544203.3484507762,12.424733982894434
Sevilla,1000,1088389.021773048,12.424532212021095
Sevilla,5000,5441826.7140009515,12.424261904111761
Iquique,500,608663.9128513444,13.89643636646905
Iquique,1000,1217313.7611366597,13.896275812062326
Iquique,5000,6086474.595858973,13.896060721139209
Jodhpur,500,597157.2017420882,13.633726067170961
Jodhpur,1000,1194298.027886132,13.633539131120228
Jodhpur,5000,5971380.449135511,13.633288696656418
