Parametro,Valor,LCOE
capital_cost,800000.0,0.09714971898856783
capital_cost,900000.0,0.10290488911045438
capital_cost,1000000.0,0.10866005923234094
capital_cost,1100000.0,0.11441522935422749
capital_cost,1200000.0,0.12017039947611405
fixed_operating_cost,30000.0,0.09221671602695078
fixed_operating_cost,40000.0,0.10043838762964587
fixed_operating_cost,50000.0,0.10866005923234094
fixed_operating_cost,60000.0,0.11688173083503602
fixed_operating_cost,70000.0,0.1251034024377311
variable_operating_cost,0.005,0.10366005923234095
variable_operating_cost,0.0075,0.10616005923234095
variable_operating_cost,0.009999999999999998,0.10866005923234094
variable_operating_cost,0.012499999999999999,0.11116005923234094
variable_operating_cost,0.015,0.11366005923234095
fixed_charge_rate,0.05,0.09221671602695078
fixed_charge_rate,0.06,0.10043838762964587
fixed_charge_rate,0.07,0.10866005923234094
fixed_charge_rate,0.08,0.11688173083503602
fixed_charge_rate,0.09,0.1251034024377311
dc_ac_ratio,1.1,0.10874500953401851
dc_ac_ratio,1.1500000000000001,0.10870066939384335
dc_ac_ratio,1.2000000000000002,0.10866005923234094
dc_ac_ratio,1.25,0.10862272289623659
dc_ac_ratio,1.3,0.1085882579085343
losses,10.0,0.10423552607773955
losses,12.0,0.10639705257012444
losses,14.0,0.10866005923234094
losses,16.0,0.11103187241835663
losses,18.0,0.11352053263441775
